Student_ID,T_start_Class,T_end_Class,Evaluated_Class,v_prior_pages_per_class,Page_at_T_start,Predicted_Page,Actual_Page,Net_Page_Lift
1,11,11,17,0.25,9,10.5,15,4.5
1,45,45,51,0.5,39,42,44,2
1,56,68,74,0.5,47,56,54,-2
1,91,93,99,0.25,66,68,71,3
1,104,105,111,0.25,73,74.75,77,2.25
2,18,18,24,0.25,12,13.5,19,5.5
3,69,82,88,0.25,42,46.75,48,1.25
3,103,103,109,0.25,55,56.5,61,4.5
3,119,119,125,0.25,65,66.5,71,4.5
4,30,30,36,0.25,23,24.5,30,5.5
4,47,47,53,0.25,35,36.5,37,0.5
4,53,53,59,0.25,37,38.5,40,1.5
4,57,57,63,0.25,38,39.5,42,2.5
4,64,78,84,0.25,42,47,46,-1
4,89,89,95,0.25,48,49.5,53,3.5
5,62,77,83,0.25,50,55.25,55,-0.25
5,98,98,104,0.25,65,66.5,67,0.5
5,102,106,112,0.5,67,72,68,-4
5,110,113,119,0.25,68,70.25,73,2.75
6,72,84,90,0.25,36,40.5,38,-2.5
6,88,88,94,0.25,37,38.5,39,0.5
6,92,92,98,0.25,38,39.5,40,0.5
7,33,47,54,0.25,30,35,34,-1
8,33,47,54,0.25,30,35,34,-1
9,26,30,36,0.25,18,20.5,24,3.5
9,57,58,64,0.25,34,35.75,36,0.25
9,64,66,72,0.25,36,38,37,-1
9,70,72,78,0.25,37,39,38,-1
9,76,78,84,0.25,38,40,40,0
9,82,82,88,0.25,39,40.5,42,1.5
10,17,30,36,0.25,15,19.75,26,6.25
11,17,22,28,0.25,9,11.75,10,-1.75
11,26,32,38,0.25,10,13,13,0
11,56,56,62,0.5,26,29,29,0
12,27,28,34,0.25,19,20.75,26,5.25
12,52,52,58,0.25,35,36.5,37,0.5
14,15,15,21,0.25,13,14.5,20,5.5
